name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date 
HATS-33 b,810,1.192 Jupiters,11.91,2016
HATS-34 b,1660,0.941 Jupiters,13.857,2016
HATS-35 b,1678,1.222 Jupiters,12.609,2016
HATS-36 b,2794,3.216 Jupiters,14.364,2018
HATS-37 A b,691,31.46517 Earths,12.341,2020
HATS-38 b,1121,23.51942 Earths,11.967,2020
HATS-39 b,2866,0.63 Jupiters,12.745,2018
HATS-3 b,1341,1.071 Jupiters,12.433,2013
HATS-40 b,4379,1.59 Jupiters,13.478,2018
HATS-41 b,2406,9.7 Jupiters,12.678,2018
HATS-42 b,2611,1.88 Jupiters,13.682,2018
HATS-34 b,1660,0.941 Jupiters,13.857,2016
HATS-35 b,1678,1.222 Jupiters,12.609,2016
HATS-36 b,2794,3.216 Jupiters,14.364,2018
HATS-37 A b,691,31.46517 Earths,12.341,2020
HATS-38 b,1121,23.51942 Earths,11.967,2020
HATS-39 b,2866,0.63 Jupiters,12.745,2018
HATS-3 b,1341,1.071 Jupiters,12.433,2013
HATS-40 b,4379,1.59 Jupiters,13.478,2018
HATS-41 b,2406,9.7 Jupiters,12.678,2018
HATS-42 b,2611,1.88 Jupiters,13.682,2018
HATS-43 b,1182,0.261 Jupiters,13.562,2018
HATS-44 b,1455,0.56 Jupiters,14.397,2018
HATS-45 b,2519,0.7 Jupiters,13.325,2018
HATS-46 b,1480,0.173 Jupiters,13.783,2018
HATS-47 b,981,0.369 Jupiters,14.602,2020
HATS-48 A b,860,0.243 Jupiters,14.226,2020
HATS-49 b,1058,0.353 Jupiters,14.988,2020
HATS-4 b,1358,1.323 Jupiters,13.516,2014
HATS-50 b,2468,0.39 Jupiters,14.045,2017
HATS-51 b,1271,0.768 Jupiters,12.525,2017
HATS-43 b,1182,0.261 Jupiters,13.562,2018
HATS-44 b,1455,0.56 Jupiters,14.397,2018
HATS-45 b,2519,0.7 Jupiters,13.325,2018
HATS-46 b,1480,0.173 Jupiters,13.783,2018
HATS-47 b,981,0.369 Jupiters,14.602,2020
HATS-48 A b,860,0.243 Jupiters,14.226,2020
HATS-49 b,1058,0.353 Jupiters,14.988,2020
HATS-4 b,1358,1.323 Jupiters,13.516,2014
HATS-50 b,2468,0.39 Jupiters,14.045,2017
HATS-51 b,1271,0.768 Jupiters,12.525,2017
HATS-43 b,1182,0.261 Jupiters,13.562,2018
HATS-44 b,1455,0.56 Jupiters,14.397,2018
HATS-45 b,2519,0.7 Jupiters,13.325,2018
HATS-46 b,1480,0.173 Jupiters,13.783,2018
HATS-47 b,981,0.369 Jupiters,14.602,2020
HATS-48 A b,860,0.243 Jupiters,14.226,2020
HATS-49 b,1058,0.353 Jupiters,14.988,2020
HATS-4 b,1358,1.323 Jupiters,13.516,2014
HATS-50 b,2468,0.39 Jupiters,14.045,2017
HATS-51 b,1271,0.768 Jupiters,12.525,2017
HATS-43 b,1182,0.261 Jupiters,13.562,2018
HATS-44 b,1455,0.56 Jupiters,14.397,2018
HATS-45 b,2519,0.7 Jupiters,13.325,2018
HATS-46 b,1480,0.173 Jupiters,13.783,2018
HATS-47 b,981,0.369 Jupiters,14.602,2020
HATS-48 A b,860,0.243 Jupiters,14.226,2020
HATS-49 b,1058,0.353 Jupiters,14.988,2020
HATS-4 b,1358,1.323 Jupiters,13.516,2014
HATS-50 b,2468,0.39 Jupiters,14.045,2017
HATS-51 b,1271,0.768 Jupiters,12.525,2017
HATS-43 b,1182,0.261 Jupiters,13.562,2018
HATS-44 b,1455,0.56 Jupiters,14.397,2018
HATS-45 b,2519,0.7 Jupiters,13.325,2018
HATS-46 b,1480,0.173 Jupiters,13.783,2018
HATS-47 b,981,0.369 Jupiters,14.602,2020
HATS-48 A b,860,0.243 Jupiters,14.226,2020
HATS-49 b,1058,0.353 Jupiters,14.988,2020
HATS-4 b,1358,1.323 Jupiters,13.516,2014
HATS-50 b,2468,0.39 Jupiters,14.045,2017
HATS-51 b,1271,0.768 Jupiters,12.525,2017
HATS-43 b,1182,0.261 Jupiters,13.562,2018
HATS-44 b,1455,0.56 Jupiters,14.397,2018
HATS-45 b,2519,0.7 Jupiters,13.325,2018
HATS-46 b,1480,0.173 Jupiters,13.783,2018
HATS-47 b,981,0.369 Jupiters,14.602,2020
HATS-48 A b,860,0.243 Jupiters,14.226,2020
HATS-49 b,1058,0.353 Jupiters,14.988,2020
HATS-4 b,1358,1.323 Jupiters,13.516,2014
HATS-50 b,2468,0.39 Jupiters,14.045,2017
HATS-51 b,1271,0.768 Jupiters,12.525,2017
HATS-43 b,1182,0.261 Jupiters,13.562,2018
HATS-44 b,1455,0.56 Jupiters,14.397,2018
HATS-45 b,2519,0.7 Jupiters,13.325,2018
HATS-46 b,1480,0.173 Jupiters,13.783,2018
HATS-47 b,981,0.369 Jupiters,14.602,2020
HATS-48 A b,860,0.243 Jupiters,14.226,2020
HATS-49 b,1058,0.353 Jupiters,14.988,2020
HATS-4 b,1358,1.323 Jupiters,13.516,2014
HATS-50 b,2468,0.39 Jupiters,14.045,2017
HATS-51 b,1271,0.768 Jupiters,12.525,2017
HATS-52 b,1811,2.24 Jupiters,13.844,2017
HATS-53 b,1911,0.595 Jupiters,13.944,2017
HATS-54 b,2442,0.76 Jupiters,13.937,2019
HATS-55 b,1989,0.921 Jupiters,13.525,2019
HATS-56 b,1841,0.602 Jupiters,11.477,2019
HATS-57 b,912,3.147 Jupiters,12.333,2019
HATS-58 A b,1317,1.03 Jupiters,11.572,2019
HATS-59 b,2097,0.806 Jupiters,14.033,2018
HATS-59 c,2097,12.7 Jupiters,14.033,2018
HATS-5 b,804,0.237 Jupiters,12.598,2014
HATS-52 b,1811,2.24 Jupiters,13.844,2017
HATS-53 b,1911,0.595 Jupiters,13.944,2017
HATS-54 b,2442,0.76 Jupiters,13.937,2019
HATS-55 b,1989,0.921 Jupiters,13.525,2019
HATS-56 b,1841,0.602 Jupiters,11.477,2019
HATS-57 b,912,3.147 Jupiters,12.333,2019
HATS-58 A b,1317,1.03 Jupiters,11.572,2019
HATS-59 b,2097,0.806 Jupiters,14.033,2018
HATS-59 c,2097,12.7 Jupiters,14.033,2018
HATS-5 b,804,0.237 Jupiters,12.598,2014
HATS-6 b,552,0.319 Jupiters,15.044,2015
HATS-70 b,4759,12.9 Jupiters,12.227,2019
HATS-71 b,457,0.37 Jupiters,16.437,2020
HATS-72 b,416,39.85588 Earths,12.324,2020
HATS-7 b,785,38.1396 Earths,13.347,2015
HATS-8 b,2592,0.138 Jupiters,14.512,2015
HATS-9 b,2083,0.837 Jupiters,13.256,2015
HD 100546 b,358,752 Jupiters,6.69,2014
HD 100655 b,447,1.61 Jupiters,6.4421,2011
HD 100777 b,162,1.03 Jupiters,8.42,2007
HD 10180 c,127,13.1 Earths,7.33,2010
HD 10180 d,127,11.75 Earths,7.33,2010
HD 10180 e,127,25.1 Earths,7.33,2010
HD 10180 f,127,23.9 Earths,7.33,2010
HD 10180 g,127,21.4 Earths,7.33,2010
HD 10180 h,127,0.203 Jupiters,7.33,2010
HD 101930 b,98,0.25 Jupiters,8.21,2005
HD 102117 b,129,0.17 Jupiters,7.47,2005
HD 102195 b,96,0.41 Jupiters,8.07,2006
HD 102272 b,1132,4.94 Jupiters,8.69,2008
HD 102329 b,708,8.16 Jupiters,7.88,2011
HD 102329 c,708,1.52 Jupiters,7.88,2018
HD 102365 b,30,16 Earths,4.89,2010
HD 102843 b,205,0.35837 Jupiters,9.26,2019
HD 102956 b,398,0.96 Jupiters,7.86,2010
HD 103197 b,186,28.6047 Earths,9.4,2009
HD 103720 b,149,0.62 Jupiters,9.5,2014
HD 103774 b,184,0.367 Jupiters,7.13463,2013
HD 103949 b,86,11.2 Earths,8.7,2019
HD 104067 b,66,0.16 Jupiters,7.92,2009
HD 10442 b,442,1.487 Jupiters,7.828,2014
HD 104985 b,328,8.3 Jupiters,5.79389,2003
HD 106252 b,125,6.93 Jupiters,7.41,2002
HD 106270 b,306,10.13 Jupiters,7.58,2011
HD 106315 b,357,12.6 Earths,8.951,2017
HD 106315 c,357,15.2 Earths,8.951,2017
HD 10647 b,57,0.94 Jupiters,5.52,2006
HD 106515 A b,111,9.61 Jupiters,7.971,2012
HD 106906 b,336,11 Jupiters,7.8,2013
HD 10697 b,108,6.383 Jupiters,6.28262,1999
HATS-60 b,1587,0.662 Jupiters,12.662,2018
HATS-61 b,2217,3.4 Jupiters,13.352,2018
HATS-62 b,1706,0.179 Jupiters,14.171,2018
HATS-63 b,2033,0.96 Jupiters,13.992,2018
HATS-64 b,3523,0.96 Jupiters,13.045,2018
HATS-65 b,1609,0.821 Jupiters,12.679,2018
HATS-66 b,4821,5.33 Jupiters,14.283,2018
HATS-67 b,3132,1.45 Jupiters,13.698,2018
HATS-68 b,1970,1.29 Jupiters,12.312,2018
HATS-69 b,1352,0.577 Jupiters,14.074,2018
HD 107148 b,161,0.21 Jupiters,8.01,2005
HD 107148 c,161,19.89606 Earths,8.01,2021
HD 108147 b,127,0.261 Jupiters,6.99,2002
HD 108236 b,211,3.24 Earths,9.25,2020
HD 108236 c,211,4.94 Earths,9.25,2020
HD 108236 d,211,6.98 Earths,9.25,2020
HD 108236 e,211,9.71 Earths,9.25,2020
HD 108236 f,211,4.72 Earths,9.25,2021
HD 108341 b,160,3.5 Jupiters,9.38,2014
HD 108863 b,537,2.414 Jupiters,7.71,2011
HATS-60 b,1587,0.662 Jupiters,12.662,2018
HATS-61 b,2217,3.4 Jupiters,13.352,2018
HATS-62 b,1706,0.179 Jupiters,14.171,2018
HATS-63 b,2033,0.96 Jupiters,13.992,2018
HATS-64 b,3523,0.96 Jupiters,13.045,2018
HATS-65 b,1609,0.821 Jupiters,12.679,2018
HATS-66 b,4821,5.33 Jupiters,14.283,2018
HATS-67 b,3132,1.45 Jupiters,13.698,2018
HATS-68 b,1970,1.29 Jupiters,12.312,2018
HATS-69 b,1352,0.577 Jupiters,14.074,2018
HD 10442 b,442,1.487 Jupiters,7.828,2014
HD 104985 b,328,8.3 Jupiters,5.79389,2003
HD 106252 b,125,6.93 Jupiters,7.41,2002
HD 106270 b,306,10.13 Jupiters,7.58,2011
HD 106315 b,357,12.6 Earths,8.951,2017
HD 106315 c,357,15.2 Earths,8.951,2017
HD 10647 b,57,0.94 Jupiters,5.52,2006
HD 106515 A b,111,9.61 Jupiters,7.971,2012
HD 106906 b,336,11 Jupiters,7.8,2013
HD 10697 b,108,6.383 Jupiters,6.28262,1999
HATS-6 b,552,0.319 Jupiters,15.044,2015
HATS-70 b,4759,12.9 Jupiters,12.227,2019
HATS-71 b,457,0.37 Jupiters,16.437,2020
HATS-72 b,416,39.85588 Earths,12.324,2020
HATS-7 b,785,38.1396 Earths,13.347,2015
HATS-8 b,2592,0.138 Jupiters,14.512,2015
HATS-9 b,2083,0.837 Jupiters,13.256,2015
HD 100546 b,358,752 Jupiters,6.69,2014
HD 100655 b,447,1.61 Jupiters,6.4421,2011
HD 100777 b,162,1.03 Jupiters,8.42,2007
HD 107148 b,161,0.21 Jupiters,8.01,2005
HD 107148 c,161,19.89606 Earths,8.01,2021
HD 108147 b,127,0.261 Jupiters,6.99,2002
HD 108236 b,211,3.24 Earths,9.25,2020
HD 108236 c,211,4.94 Earths,9.25,2020
HD 108236 d,211,6.98 Earths,9.25,2020
HD 108236 e,211,9.71 Earths,9.25,2020
HD 108236 f,211,4.72 Earths,9.25,2021
HD 108341 b,160,3.5 Jupiters,9.38,2014
HD 108863 b,537,2.414 Jupiters,7.71,2011
HD 10180 c,127,13.1 Earths,7.33,2010
HD 10180 d,127,11.75 Earths,7.33,2010
HD 10180 e,127,25.1 Earths,7.33,2010
HD 10180 f,127,23.9 Earths,7.33,2010
HD 10180 g,127,21.4 Earths,7.33,2010
HD 10180 h,127,0.203 Jupiters,7.33,2010
HD 101930 b,98,0.25 Jupiters,8.21,2005
HD 102117 b,129,0.17 Jupiters,7.47,2005
HD 102195 b,96,0.41 Jupiters,8.07,2006
HD 102272 b,1132,4.94 Jupiters,8.69,2008
HD 10180 c,127,13.1 Earths,7.33,2010
HD 10180 d,127,11.75 Earths,7.33,2010
HD 10180 e,127,25.1 Earths,7.33,2010
HD 10180 f,127,23.9 Earths,7.33,2010
HD 10180 g,127,21.4 Earths,7.33,2010
HD 10180 h,127,0.203 Jupiters,7.33,2010
HD 101930 b,98,0.25 Jupiters,8.21,2005
HD 102117 b,129,0.17 Jupiters,7.47,2005
HD 102195 b,96,0.41 Jupiters,8.07,2006
HD 102272 b,1132,4.94 Jupiters,8.69,2008
HD 102329 b,708,8.16 Jupiters,7.88,2011
HD 102329 c,708,1.52 Jupiters,7.88,2018
HD 102365 b,30,16 Earths,4.89,2010
HD 102843 b,205,0.35837 Jupiters,9.26,2019
HD 102956 b,398,0.96 Jupiters,7.86,2010
HD 103197 b,186,28.6047 Earths,9.4,2009
HD 103720 b,149,0.62 Jupiters,9.5,2014
HD 103774 b,184,0.367 Jupiters,7.13463,2013
HD 103949 b,86,11.2 Earths,8.7,2019
HD 104067 b,66,0.16 Jupiters,7.92,2009
HD 10442 b,442,1.487 Jupiters,7.828,2014
HD 104985 b,328,8.3 Jupiters,5.79389,2003
HD 106252 b,125,6.93 Jupiters,7.41,2002
HD 106270 b,306,10.13 Jupiters,7.58,2011
HD 106315 b,357,12.6 Earths,8.951,2017
HD 106315 c,357,15.2 Earths,8.951,2017
HD 10647 b,57,0.94 Jupiters,5.52,2006
HD 106515 A b,111,9.61 Jupiters,7.971,2012
HD 106906 b,336,11 Jupiters,7.8,2013
HD 10697 b,108,6.383 Jupiters,6.28262,1999
HD 10442 b,442,1.487 Jupiters,7.828,2014
HD 104985 b,328,8.3 Jupiters,5.79389,2003
HD 106252 b,125,6.93 Jupiters,7.41,2002
HD 106270 b,306,10.13 Jupiters,7.58,2011
HD 106315 b,357,12.6 Earths,8.951,2017
HD 106315 c,357,15.2 Earths,8.951,2017
HD 10647 b,57,0.94 Jupiters,5.52,2006
HD 106515 A b,111,9.61 Jupiters,7.971,2012
HD 106906 b,336,11 Jupiters,7.8,2013
HD 10697 b,108,6.383 Jupiters,6.28262,1999
HD 107148 b,161,0.21 Jupiters,8.01,2005
HD 107148 c,161,19.89606 Earths,8.01,2021
HD 108147 b,127,0.261 Jupiters,6.99,2002
HD 108236 b,211,3.24 Earths,9.25,2020
HD 108236 c,211,4.94 Earths,9.25,2020
HD 108236 d,211,6.98 Earths,9.25,2020
HD 108236 e,211,9.71 Earths,9.25,2020
HD 108236 f,211,4.72 Earths,9.25,2021
HD 108341 b,160,3.5 Jupiters,9.38,2014
HD 108863 b,537,2.414 Jupiters,7.71,2011
HD 108874 b,194,1.42 Jupiters,8.76,2002
HD 108874 c,194,0.99 Jupiters,8.76,2005
HD 109246 b,221,0.86 Jupiters,8.751,2010
HD 109271 b,182,17.162 Earths,8.04,2013
HD 109271 c,182,24.154 Earths,8.04,2013
HD 109286 b,181,2.99 Jupiters,8.78,2021
HD 109749 b,206,0.27 Jupiters,8.08,2005
HD 110014 b,329,11.09 Jupiters,4.64597,2009
HD 110082 b,343,10.3 Earths,9.23,2021
HD 110113 b,347,4.55 Earths,10.09,2021
HD 108874 b,194,1.42 Jupiters,8.76,2002
HD 108874 c,194,0.99 Jupiters,8.76,2005
HD 109246 b,221,0.86 Jupiters,8.751,2010
HD 109271 b,182,17.162 Earths,8.04,2013
HD 109271 c,182,24.154 Earths,8.04,2013
HD 109286 b,181,2.99 Jupiters,8.78,2021
HD 109749 b,206,0.27 Jupiters,8.08,2005
HD 110014 b,329,11.09 Jupiters,4.64597,2009
HD 110082 b,343,10.3 Earths,9.23,2021
HD 110113 b,347,4.55 Earths,10.09,2021
HD 108874 b,194,1.42 Jupiters,8.76,2002
HD 108874 c,194,0.99 Jupiters,8.76,2005
HD 109246 b,221,0.86 Jupiters,8.751,2010
HD 109271 b,182,17.162 Earths,8.04,2013
HD 109271 c,182,24.154 Earths,8.04,2013
HD 109286 b,181,2.99 Jupiters,8.78,2021
HD 109749 b,206,0.27 Jupiters,8.08,2005
HD 110014 b,329,11.09 Jupiters,4.64597,2009
HD 110082 b,343,10.3 Earths,9.23,2021
HD 110113 b,347,4.55 Earths,10.09,2021
HD 108874 b,194,1.42 Jupiters,8.76,2002
HD 108874 c,194,0.99 Jupiters,8.76,2005
HD 109246 b,221,0.86 Jupiters,8.751,2010
HD 109271 b,182,17.162 Earths,8.04,2013
HD 109271 c,182,24.154 Earths,8.04,2013
HD 109286 b,181,2.99 Jupiters,8.78,2021
HD 109749 b,206,0.27 Jupiters,8.08,2005
HD 110014 b,329,11.09 Jupiters,4.64597,2009
HD 110082 b,343,10.3 Earths,9.23,2021
HD 110113 b,347,4.55 Earths,10.09,2021
HD 108874 b,194,1.42 Jupiters,8.76,2002
HD 108874 c,194,0.99 Jupiters,8.76,2005
HD 109246 b,221,0.86 Jupiters,8.751,2010
HD 109271 b,182,17.162 Earths,8.04,2013
HD 109271 c,182,24.154 Earths,8.04,2013
HD 109286 b,181,2.99 Jupiters,8.78,2021
HD 109749 b,206,0.27 Jupiters,8.08,2005
HD 110014 b,329,11.09 Jupiters,4.64597,2009
HD 110082 b,343,10.3 Earths,9.23,2021
HD 110113 b,347,4.55 Earths,10.09,2021
HD 108874 b,194,1.42 Jupiters,8.76,2002
HD 108874 c,194,0.99 Jupiters,8.76,2005
HD 109246 b,221,0.86 Jupiters,8.751,2010
HD 109271 b,182,17.162 Earths,8.04,2013
HD 109271 c,182,24.154 Earths,8.04,2013
HD 109286 b,181,2.99 Jupiters,8.78,2021
HD 109749 b,206,0.27 Jupiters,8.08,2005
HD 110014 b,329,11.09 Jupiters,4.64597,2009
HD 110082 b,343,10.3 Earths,9.23,2021
HD 110113 b,347,4.55 Earths,10.09,2021
HD 108874 b,194,1.42 Jupiters,8.76,2002
HD 108874 c,194,0.99 Jupiters,8.76,2005
HD 109246 b,221,0.86 Jupiters,8.751,2010
HD 109271 b,182,17.162 Earths,8.04,2013
HD 109271 c,182,24.154 Earths,8.04,2013
HD 109286 b,181,2.99 Jupiters,8.78,2021
HD 109749 b,206,0.27 Jupiters,8.08,2005
HD 110014 b,329,11.09 Jupiters,4.64597,2009
HD 110082 b,343,10.3 Earths,9.23,2021
HD 110113 b,347,4.55 Earths,10.09,2021
HD 108874 b,194,1.42 Jupiters,8.76,2002
HD 108874 c,194,0.99 Jupiters,8.76,2005
HD 109246 b,221,0.86 Jupiters,8.751,2010
HD 109271 b,182,17.162 Earths,8.04,2013
HD 109271 c,182,24.154 Earths,8.04,2013
HD 109286 b,181,2.99 Jupiters,8.78,2021
HD 109749 b,206,0.27 Jupiters,8.08,2005
HD 110014 b,329,11.09 Jupiters,4.64597,2009
HD 110082 b,343,10.3 Earths,9.23,2021
HD 110113 b,347,4.55 Earths,10.09,2021
HD 110113 c,347,10.5 Earths,10.09,2021
HD 111232 b,94,7.14 Jupiters,7.59,2003
HD 111591 b,372,4.4 Jupiters,6.417,2017
HD 111998 b,108,4.51 Jupiters,6.11006,2016
HD 112640 b,1055,5 Jupiters,6.53649,2020
HD 113337 b,118,2.83 Jupiters,6.02078,2013
HD 113538 b,53,0.36 Jupiters,9.05,2010
HD 113538 c,53,0.93 Jupiters,9.05,2010
HD 113996 b,379,6.3 Jupiters,4.77044,2017
HD 114386 b,91,1.14 Jupiters,8.73,2003
HD 114613 b,66,0.357 Jupiters,4.85,2014
HD 114729 b,123,0.825 Jupiters,6.68,2002
HD 114762 b,131,10.69 Jupiters,7.3,1989
HD 114783 b,69,1.1 Jupiters,7.56,2001
HD 114783 c,69,0.611 Jupiters,7.56,2018
HD 11506 b,167,4.83 Jupiters,7.51,2007
HD 11506 c,167,0.408 Jupiters,7.51,2008
HD 115954 b,286,8.29 Jupiters,8.34,2021
HD 116029 b,402,1.4 Jupiters,7.88,2011
HD 116029 c,402,1.27 Jupiters,7.88,2018
HD 110113 c,347,10.5 Earths,10.09,2021
HD 111232 b,94,7.14 Jupiters,7.59,2003
HD 111591 b,372,4.4 Jupiters,6.417,2017
HD 111998 b,108,4.51 Jupiters,6.11006,2016
HD 112640 b,1055,5 Jupiters,6.53649,2020
HD 113337 b,118,2.83 Jupiters,6.02078,2013
HD 113538 b,53,0.36 Jupiters,9.05,2010
HD 113538 c,53,0.93 Jupiters,9.05,2010
HD 113996 b,379,6.3 Jupiters,4.77044,2017
HD 114386 b,91,1.14 Jupiters,8.73,2003
HD 114613 b,66,0.357 Jupiters,4.85,2014
HD 114729 b,123,0.825 Jupiters,6.68,2002
HD 114762 b,131,10.69 Jupiters,7.3,1989
HD 114783 b,69,1.1 Jupiters,7.56,2001
HD 114783 c,69,0.611 Jupiters,7.56,2018
HD 11506 b,167,4.83 Jupiters,7.51,2007
HD 11506 c,167,0.408 Jupiters,7.51,2008
HD 115954 b,286,8.29 Jupiters,8.34,2021
HD 116029 b,402,1.4 Jupiters,7.88,2011
HD 116029 c,402,1.27 Jupiters,7.88,2018
HD 117207 b,106,1.926 Jupiters,7.26,2004
HD 11755 b,767,5.63 Jupiters,6.88269,2015
HD 117618 b,123,0.174 Jupiters,7.17,2004
HD 118203 b,301,2.79 Jupiters,8.05,2005
HD 11964 b,109,0.622 Jupiters,6.41525,2005
HD 11964 c,109,25 Earths,6.41525,2008
HD 11977 b,222,6.54 Jupiters,4.68,2005
HD 120084 b,336,4.5 Jupiters,5.90686,2013
HD 121504 b,136,1.51 Jupiters,7.54,2003
HD 124330 b,196,0.75 Jupiters,7.88,2021
HD 117207 b,106,1.926 Jupiters,7.26,2004
HD 11755 b,767,5.63 Jupiters,6.88269,2015
HD 117618 b,123,0.174 Jupiters,7.17,2004
HD 118203 b,301,2.79 Jupiters,8.05,2005
HD 11964 b,109,0.622 Jupiters,6.41525,2005
HD 11964 c,109,25 Earths,6.41525,2008
HD 11977 b,222,6.54 Jupiters,4.68,2005
HD 120084 b,336,4.5 Jupiters,5.90686,2013
HD 121504 b,136,1.51 Jupiters,7.54,2003
HD 124330 b,196,0.75 Jupiters,7.88,2021
HD 114613 b,66,0.357 Jupiters,4.85,2014
HD 114729 b,123,0.825 Jupiters,6.68,2002
HD 114762 b,131,10.69 Jupiters,7.3,1989
HD 114783 b,69,1.1 Jupiters,7.56,2001
HD 114783 c,69,0.611 Jupiters,7.56,2018
HD 11506 b,167,4.83 Jupiters,7.51,2007
HD 11506 c,167,0.408 Jupiters,7.51,2008
HD 115954 b,286,8.29 Jupiters,8.34,2021
HD 116029 b,402,1.4 Jupiters,7.88,2011
HD 116029 c,402,1.27 Jupiters,7.88,2018
HD 117207 b,106,1.926 Jupiters,7.26,2004
HD 11755 b,767,5.63 Jupiters,6.88269,2015
HD 117618 b,123,0.174 Jupiters,7.17,2004
HD 118203 b,301,2.79 Jupiters,8.05,2005
HD 11964 b,109,0.622 Jupiters,6.41525,2005
HD 11964 c,109,25 Earths,6.41525,2008
HD 11977 b,222,6.54 Jupiters,4.68,2005
HD 120084 b,336,4.5 Jupiters,5.90686,2013
HD 121504 b,136,1.51 Jupiters,7.54,2003
HD 124330 b,196,0.75 Jupiters,7.88,2021
HD 12661 c,123,1.812 Jupiters,7.43,2002
HD 128311 b,53,1.769 Jupiters,7.48,2002
HD 128311 c,53,3.789 Jupiters,7.48,2005
HD 128356 b,85,0.89 Jupiters,8.2411,2016
HD 129445 b,220,1.6 Jupiters,8.8,2009
HD 130322 b,104,1.15 Jupiters,8.04,1999
HD 131496 b,430,1.8 Jupiters,7.8,2011
HD 131664 b,172,19.12 Jupiters,8.13,2008
HD 13167 b,486,3.31 Jupiters,8.34,2018
HD 13189 b,1624,10.95 Jupiters,7.57,2005
HD 12484 b,158,2.98 Jupiters,8.18,2016
HD 125390 b,501,22.16 Jupiters,8.21,2019
HD 125595 b,92,6.3566 Earths,9.03,2009
HD 125612 b,188,3.1 Jupiters,8.31,2007
HD 125612 c,188,17.48065 Earths,8.31,2009
HD 125612 d,188,7.28 Jupiters,8.31,2009
HD 12648 b,594,1.96 Jupiters,6.98656,2015
HD 126525 b,123,0.237 Jupiters,7.85,2018
HD 126614 b,238,0.41 Jupiters,8.81,2009
HD 12661 b,123,2.43 Jupiters,7.43,2000
HD 12484 b,158,2.98 Jupiters,8.18,2016
HD 125390 b,501,22.16 Jupiters,8.21,2019
HD 125595 b,92,6.3566 Earths,9.03,2009
HD 125612 b,188,3.1 Jupiters,8.31,2007
HD 125612 c,188,17.48065 Earths,8.31,2009
HD 125612 d,188,7.28 Jupiters,8.31,2009
HD 12648 b,594,1.96 Jupiters,6.98656,2015
HD 126525 b,123,0.237 Jupiters,7.85,2018
HD 126614 b,238,0.41 Jupiters,8.81,2009
HD 12661 b,123,2.43 Jupiters,7.43,2000
HD 12661 c,123,1.812 Jupiters,7.43,2002
HD 128311 b,53,1.769 Jupiters,7.48,2002
HD 128311 c,53,3.789 Jupiters,7.48,2005
HD 128356 b,85,0.89 Jupiters,8.2411,2016
HD 129445 b,220,1.6 Jupiters,8.8,2009
HD 130322 b,104,1.15 Jupiters,8.04,1999
HD 131496 b,430,1.8 Jupiters,7.8,2011
HD 131664 b,172,19.12 Jupiters,8.13,2008
HD 13167 b,486,3.31 Jupiters,8.34,2018
HD 13189 b,1624,10.95 Jupiters,7.57,2005
HD 12661 c,123,1.812 Jupiters,7.43,2002
HD 128311 b,53,1.769 Jupiters,7.48,2002
HD 128311 c,53,3.789 Jupiters,7.48,2005
HD 128356 b,85,0.89 Jupiters,8.2411,2016
HD 129445 b,220,1.6 Jupiters,8.8,2009
HD 130322 b,104,1.15 Jupiters,8.04,1999
HD 131496 b,430,1.8 Jupiters,7.8,2011
HD 131664 b,172,19.12 Jupiters,8.13,2008
HD 13167 b,486,3.31 Jupiters,8.34,2018
HD 13189 b,1624,10.95 Jupiters,7.57,2005
HD 132406 b,231,5.38 Jupiters,8.45,2007
HD 132563 b,343,1.49 Jupiters,8.928001,2011
HD 133131 A b,168,1.42 Jupiters,7.66,2016
HD 133131 A c,168,0.42 Jupiters,7.66,2016
HD 133131 B b,167,2.5 Jupiters,8.413,2016
HD 134060 b,78,10.1 Earths,6.29,2019
HD 134060 c,78,29.29 Earths,6.29,2019
HD 134987 b,85,1.61 Jupiters,6.47,1999
HD 134987 c,85,0.82 Jupiters,6.47,2009
HD 136352 b,48,4.72 Earths,5.65,2019
HD 132406 b,231,5.38 Jupiters,8.45,2007
HD 132563 b,343,1.49 Jupiters,8.928001,2011
HD 133131 A b,168,1.42 Jupiters,7.66,2016
HD 133131 A c,168,0.42 Jupiters,7.66,2016
HD 133131 B b,167,2.5 Jupiters,8.413,2016
HD 134060 b,78,10.1 Earths,6.29,2019
HD 134060 c,78,29.29 Earths,6.29,2019
HD 134987 b,85,1.61 Jupiters,6.47,1999
HD 134987 c,85,0.82 Jupiters,6.47,2009
HD 136352 b,48,4.72 Earths,5.65,2019
HD 132406 b,231,5.38 Jupiters,8.45,2007
HD 132563 b,343,1.49 Jupiters,8.928001,2011
HD 133131 A b,168,1.42 Jupiters,7.66,2016
HD 133131 A c,168,0.42 Jupiters,7.66,2016
HD 133131 B b,167,2.5 Jupiters,8.413,2016
HD 134060 b,78,10.1 Earths,6.29,2019
HD 134060 c,78,29.29 Earths,6.29,2019
HD 134987 b,85,1.61 Jupiters,6.47,1999
HD 134987 c,85,0.82 Jupiters,6.47,2009
HD 136352 b,48,4.72 Earths,5.65,2019
HD 132406 b,231,5.38 Jupiters,8.45,2007
HD 132563 b,343,1.49 Jupiters,8.928001,2011
HD 133131 A b,168,1.42 Jupiters,7.66,2016
HD 133131 A c,168,0.42 Jupiters,7.66,2016
HD 133131 B b,167,2.5 Jupiters,8.413,2016
HD 134060 b,78,10.1 Earths,6.29,2019
HD 134060 c,78,29.29 Earths,6.29,2019
